country,total_population_2022,pct_under_20, pct_over_60,deaths_due_to_ncd,income_group,gdp_per_capita,    inactivity_adolescent_male,  inactivity_adolescent_female,    inactivity_adult_male,    inactivity_adult_female, inactivity_70_male,   inactivity_70_female
Afghanistan,41129000,0.55,0.04,0.5,LOW,2078,0.89,0.88,N/A,N/A,N/A,N/A
Albania,2843000,0.22,0.23,0.94,UPPER MIDDLE,13632,0.76,0.86,N/A,N/A,N/A,N/A
Alegeria,44904000,0.38,0.1,0.79,UPPER MIDDLE,11323,0.76,0.91,0.27,0.4,0.4,0.56
Andorra,80000,0.18,0.22,N/A,HIGH,N/A,N/A,N/A,0.37,0.4,0.53,0.57
Angola,35589000,0.56,0.04,0.32,LOWER MIDDLE,6478,N/A,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,93800,0.25,0.16,0.85,HIGH,18240,0.74,0.85,N/A,N/A,N/A,N/A
Argentina,45511000,0.31,0.16,0.77,UPPER MIDDLE,20769,0.8,0.9,0.38,0.45,0.53,0.62
Armenia,2781000,0.26,0.2,0.89,UPPER MIDDLE,13311,0.73,0.83,0.23,0.22,0.36,0.35
Austrailia,26178000,0.24,0.23,0.89,HIGH,53317,0.87,0.91,0.27,0.34,0.41,0.5
Austria,8940000,0.19,0.27,0.91,HIGH,55686,0.71,0.85,0.26,0.34,0.4,0.49
Azerbaijan,10359000,0.3,0.12,0.9,UPPER MIDDLE,14470,N/A,N/A,N/A,N/A,N/A,N/A
Bahamas,410000,0.27,0.14,0.75,HIGH,29065,0.81,0.88,0.3,0.56,0.44,0.71
Bahrain,1473000,0.26,0.07,0.86,HIGH,43821,0.75,0.87,N/A,N/A,N/A,N/A
Bangladesh,171187000,0.36,0.09,0.7,LOWER MIDDLE,5995,0.63,0.69,0.16,0.4,0.19,0.46
Barbados,282000,0.23,0.23,0.83,HIGH,14046,0.77,0.87,0.29,0.55,0.37,0.63
Belarus,9535000,0.22,0.25,0.93,UPPER MIDDLE,20238,N/A,N/A,0.14,0.14,0.23,0.25
Belgium,11656000,0.22,0.26,0.86,HIGH,53070,0.79,0.88,0.31,0.41,0.46,0.57
Belize,406000,0.37,0.08,0.65,UPPER MIDDLE,6166,0.76,0.84,N/A,N/A,N/A,N/A
Benin,13353000,0.53,0.05,0.39,LOW,3505,0.71,0.81,0.14,0.18,0.22,0.29
Bhutan,783000,0.31,0.09,0.73,LOWER MIDDLE,11129,0.83,0.85,0.18,0.3,0.18,0.37
Bolivia (Plurinational State of),12225000,0.41,0.08,0.73,LOWER MIDDLE,8283,0.82,0.89,N/A,N/A,N/A,N/A
Bosnia and Herzegovina,3234000,0.2,0.26,0.94,UPPER MIDDLE,15598,N/A,N/A,0.23,0.28,0.35,0.43
Botswana,2631000,0.42,0.06,0.46,UPPER MIDDLE,15471,0.86,0.89,0.17,0.26,0.27,0.41
Brazil,215314000,0.28,0.15,0.75,UPPER MIDDLE,14834,0.78,0.89,0.4,0.53,0.56,0.69
Brunei Darussalam,450000,0.29,0.1,0.85,HIGH,65607,0.81,0.94,0.21,0.34,0.33,0.49
Bulgaria,6782000,0.19,0.29,0.95,UPPER MIDDLE,24564,0.67,0.8,0.36,0.41,0.51,0.58
Burkina Faso,22674000,0.55,0.04,0.35,LOW,2274,N/A,N/A,0.18,0.23,0.2,0.27
Burundi,12890000,0.57,0.04,0.37,LOW,771,N/A,N/A,N/A,N/A,N/A,N/A
Cabo Verde,594000,0.35,0.09,0.7,LOWER MIDDLE,6376,N/A,N/A,0.14,0.25,0.22,0.39
Cambodia,16768000,0.38,0.1,0.68,LOWER MIDDLE,4423,0.9,0.93,0.1,0.11,0.16,0.19
Cameroon,27915000,0.53,0.04,0.38,LOWER MIDDLE,3867,N/A,N/A,0.22,0.35,0.34,0.51
Canada,38455000,0.21,0.26,0.9,HIGH,46572,0.71,0.82,0.26,0.31,0.39,0.47
Central African Republic,5580000,0.6,0.04,0.32,LOW,989,N/A,N/A,0.13,0.16,0.21,0.26
Chad,17724000,0.58,0.03,0.27,LOW,1592,N/A,N/A,0.2,0.27,0.25,0.33
Chile,19604000,0.24,0.18,0.85,HIGH,25089,0.84,0.91,0.24,0.29,0.3,0.36
China,1425888000,0.23,0.19,0.9,UPPER MIDDLE,17189,0.8,0.89,0.16,0.12,0.26,0.21
Colombia,51875000,0.29,0.14,0.76,UPPER MIDDLE,14868,0.81,0.87,0.39,0.49,0.43,0.54
