"flagCode","country","FastFoodConsumptionRanking_2022","AnnualFastFoodRevenue_2023"
"US","United States",1,799850000
"GB","United Kingdom",2,164400000
"FR","France",3,203910000
"SE","Sweden",4,
"AT","Austria",5,
"MX","Mexico",6,201380000
"KR","South Korea",7,125830000
"GR","Greece",8,
"CN","China",9,1474400000
"NO","Norway",10,
"IT","Italy",11,185420000
"AU","Australia",12,87660000
"IN","India",13,814290000
"RU","Russia",14,229270000
"CH","Switzerland",15,
"PT","Portugal",16,
"JP","Japan",17,403380000
"FI","Finland",18,
"CA","Canada",19,124270000
"DE","Germany",20,237360000
"PK","Pakistan",,106480000
"NG","Nigeria",,183940000
"BR","Brazil",,168010000
"BD","Bangladesh",,134510000
"EG","Egypt",,150330000
"PH","Philippines",,127940000
"VN","Vietnam",,85060000
"TR","Turkey",,120640000
"TH","Thailand",,67590000
"ES","Spain",,115680000
"PL","Poland",,68970000
,"Total",,6380570000
