economy,year,economy_code,prevalence_overweight
Afghanistan,2022,AFG,48.57
Albania,2022,ALB,62.16
Algeria,2022,DZA,57.62
American Samoa,2022,ASM,91.41
Andorra,2022,AND,48.17
Angola,2022,AGO,31.78
Antigua and Barbuda,2022,ATG,62.67
Argentina,2022,ARG,68.42
Armenia,2022,ARM,55.43
Aruba,2022,ABW,
Australia,2022,AUS,63.96
Austria,2022,AUT,44.99
Azerbaijan,2022,AZE,61.68
"Bahamas, The",2022,BHS,75.79
Bahrain,2022,BHR,68.69
Bangladesh,2022,BGD,27.02
Barbados,2022,BRB,67.16
Belarus,2022,BLR,55.42
Belgium,2022,BEL,51.08
Belize,2022,BLZ,72.78
Benin,2022,BEN,30.08
Bermuda,2022,BMU,62.5
Bhutan,2022,BTN,46.68
Bolivia,2022,BOL,65.14
Bosnia and Herzegovina,2022,BIH,56.86
Botswana,2022,BWA,41.99
Brazil,2022,BRA,63
British Virgin Islands,2022,VGB,
Brunei Darussalam,2022,BRN,69.63
Bulgaria,2022,BGR,51.95
Burkina Faso,2022,BFA,21.7
Burundi,2022,BDI,16.31
Cabo Verde,2022,CPV,46.69
Cambodia,2022,KHM,25.14
Cameroon,2022,CMR,39.47
Canada,2022,CAN,59.15
Cayman Islands,2022,CYM,
Central African Republic,2022,CAF,23.67
Chad,2022,TCD,21.43
Channel Islands,2022,CHI,
Chile,2022,CHL,78.79
China,2022,CHN,37.46
Colombia,2022,COL,59.72
Comoros,2022,COM,42.88
"Congo, Dem. Rep.",2022,COD,21.79
"Congo, Rep.",2022,COG,24.16
Costa Rica,2022,CRI,66.94
Cote d'Ivoire,2022,CIV,34.54
Croatia,2022,HRV,64.22
Cuba,2022,CUB,55.56
Curacao,2022,CUW,
Cyprus,2022,CYP,53.82
Czechia,2022,CZE,59.54
Denmark,2022,DNK,44.91
Djibouti,2022,DJI,29.77
Dominica,2022,DMA,59.01
Dominican Republic,2022,DOM,63.31
Ecuador,2022,ECU,66.75
"Egypt, Arab Rep.",2022,EGY,73.35
El Salvador,2022,SLV,66.17
Equatorial Guinea,2022,GNQ,39.51
Eritrea,2022,ERI,17.21
Estonia,2022,EST,57.21
Eswatini,2022,SWZ,57.14
